date,diesel_price_per_gal,fuel_surcharge_pct
2026-06-01,3.852,26.5
2026-06-02,3.859,26.6
2026-06-03,3.844,26.4
2026-06-04,3.851,26.5
2026-06-05,3.827,26.3
2026-06-06,3.833,26.3
2026-06-07,3.813,26.1
2026-06-08,3.776,25.8
2026-06-09,3.791,25.9
2026-06-10,3.801,26.0
2026-06-11,3.787,25.9
2026-06-12,3.814,26.1
2026-06-13,3.815,26.2
2026-06-14,3.826,26.3
2026-06-15,3.812,26.1
2026-06-16,3.818,26.2
2026-06-17,3.817,26.2
2026-06-18,3.829,26.3
2026-06-19,3.844,26.4
2026-06-20,3.837,26.4
2026-06-21,3.849,26.5
2026-06-22,3.835,26.3
2026-06-23,3.89,26.9
2026-06-24,3.906,27.1
2026-06-25,3.925,27.2
2026-06-26,3.889,26.9
2026-06-27,3.914,27.1
2026-06-28,3.899,27.0
2026-06-29,3.906,27.1
2026-06-30,3.919,27.2
2026-07-01,3.921,27.2
2026-07-02,3.933,27.3
2026-07-03,3.944,27.4
2026-07-04,3.947,27.5
2026-07-05,3.956,27.6
2026-07-06,3.951,27.5
2026-07-07,3.952,27.5
2026-07-08,3.933,27.3
2026-07-09,3.897,27.0
2026-07-10,3.913,27.1
2026-07-11,3.93,27.3
2026-07-12,3.927,27.3
2026-07-13,3.923,27.2
2026-07-14,3.912,27.1
2026-07-15,3.899,27.0
2026-07-16,3.936,27.4
2026-07-17,3.916,27.2
2026-07-18,3.906,27.1
2026-07-19,3.904,27.0
2026-07-20,3.897,27.0
2026-07-21,3.88,26.8
2026-07-22,3.87,26.7
2026-07-23,3.875,26.8
2026-07-24,3.867,26.7
2026-07-25,3.873,26.7
2026-07-26,3.871,26.7
2026-07-27,3.878,26.8
2026-07-28,3.896,27.0
2026-07-29,3.889,26.9
2026-07-30,3.878,26.8
2026-07-31,3.9,27.0
2026-08-01,3.921,27.2
2026-08-02,3.919,27.2
2026-08-03,3.937,27.4
2026-08-04,3.923,27.2
2026-08-05,3.91,27.1
2026-08-06,3.892,26.9
2026-08-07,3.882,26.8
2026-08-08,3.89,26.9
2026-08-09,3.885,26.9
2026-08-10,3.882,26.8
2026-08-11,3.87,26.7
2026-08-12,3.852,26.5
2026-08-13,3.865,26.7
2026-08-14,3.861,26.6
2026-08-15,3.873,26.7
2026-08-16,3.872,26.7
2026-08-17,3.866,26.7
2026-08-18,3.813,26.1
2026-08-19,3.828,26.3
2026-08-20,3.835,26.3
2026-08-21,3.835,26.4
2026-08-22,3.838,26.4
2026-08-23,3.85,26.5
2026-08-24,3.878,26.8
2026-08-25,3.865,26.6
2026-08-26,3.875,26.7
2026-08-27,3.864,26.6
2026-08-28,3.879,26.8
2026-08-29,3.902,27.0
2026-08-30,3.895,26.9
2026-08-31,3.874,26.7
2026-09-01,3.895,26.9
2026-09-02,3.892,26.9
2026-09-03,3.918,27.2
2026-09-04,3.917,27.2
2026-09-05,3.908,27.1
2026-09-06,3.928,27.3
2026-09-07,3.933,27.3
2026-09-08,3.927,27.3
2026-09-09,3.93,27.3
2026-09-10,3.933,27.3
2026-09-11,3.919,27.2
2026-09-12,3.913,27.1
2026-09-13,3.892,26.9
2026-09-14,3.876,26.8
2026-09-15,3.882,26.8
2026-09-16,3.901,27.0
2026-09-17,3.898,27.0
2026-09-18,3.914,27.1
