lane_id,origin_zip,origin_city,origin_state,dest_zip,dest_city,dest_state,distance_miles,base_rate_per_cwt
LN001,80202,Denver,CO,64105,Kansas City,MO,675,37.52
LN002,30303,Atlanta,GA,19104,Philadelphia,PA,812,41.73
LN003,90021,Los Angeles,CA,48226,Detroit,MI,2352,115.05
LN004,64105,Kansas City,MO,46204,Indianapolis,IN,548,37.82
LN005,46204,Indianapolis,IN,19104,Philadelphia,PA,709,47.22
LN006,48226,Detroit,MI,80202,Denver,CO,1417,62.1
LN007,80202,Denver,CO,60607,Chicago,IL,1059,52.02
LN008,84101,Salt Lake City,UT,64105,Kansas City,MO,1086,51.15
LN009,75201,Dallas,TX,37203,Nashville,TN,767,49.91
LN010,98108,Seattle,WA,19104,Philadelphia,PA,2802,121.48
LN011,07105,Newark,NJ,19104,Philadelphia,PA,91,23.82
LN012,30303,Atlanta,GA,98108,Seattle,WA,2603,101.41
LN013,30303,Atlanta,GA,84101,Salt Lake City,UT,1856,84.49
LN014,75201,Dallas,TX,85004,Phoenix,AZ,1040,55.78
LN015,46204,Indianapolis,IN,55401,Minneapolis,MN,633,38.94
LN016,64105,Kansas City,MO,30303,Atlanta,GA,792,52.54
LN017,97209,Portland,OR,80202,Denver,CO,1179,51.99
LN018,30303,Atlanta,GA,85004,Phoenix,AZ,1834,72.57
LN019,84101,Salt Lake City,UT,97209,Portland,OR,770,48.89
LN020,77002,Houston,TX,98108,Seattle,WA,2250,84.08
LN021,07105,Newark,NJ,55401,Minneapolis,MN,1199,68.89
LN022,46204,Indianapolis,IN,37203,Nashville,TN,303,32.65
LN023,19104,Philadelphia,PA,90021,Los Angeles,CA,2951,103.51
LN024,98108,Seattle,WA,07105,Newark,NJ,2927,127.01
LN025,90021,Los Angeles,CA,46204,Indianapolis,IN,2174,87.51
LN026,30303,Atlanta,GA,48226,Detroit,MI,725,38.32
LN027,48226,Detroit,MI,85004,Phoenix,AZ,2013,87.23
LN028,55401,Minneapolis,MN,48226,Detroit,MI,675,46.32
LN029,48226,Detroit,MI,07105,Newark,NJ,557,37.5
LN030,46204,Indianapolis,IN,38103,Memphis,TN,448,37.85
LN031,55401,Minneapolis,MN,75201,Dallas,TX,1069,52.06
LN032,37203,Nashville,TN,64105,Kansas City,MO,574,39.34
LN033,75201,Dallas,TX,84101,Salt Lake City,UT,1164,63.37
LN034,55401,Minneapolis,MN,85004,Phoenix,AZ,1539,77.87
LN035,55401,Minneapolis,MN,46204,Indianapolis,IN,614,33.57
LN036,64105,Kansas City,MO,98108,Seattle,WA,1775,68.57
LN037,60607,Chicago,IL,46204,Indianapolis,IN,205,28.04
LN038,19104,Philadelphia,PA,97209,Portland,OR,2965,114.74
LN039,84101,Salt Lake City,UT,75201,Dallas,TX,1154,65.01
LN040,80202,Denver,CO,19104,Philadelphia,PA,1959,75.8
LN041,37203,Nashville,TN,46204,Indianapolis,IN,302,24.88
LN042,75201,Dallas,TX,64105,Kansas City,MO,557,40.49
LN043,84101,Salt Lake City,UT,55401,Minneapolis,MN,1145,57.64
LN044,90021,Los Angeles,CA,97209,Portland,OR,998,49.2
LN045,55401,Minneapolis,MN,84101,Salt Lake City,UT,1218,59.23
LN046,98108,Seattle,WA,46204,Indianapolis,IN,2186,95.62
LN047,77002,Houston,TX,85004,Phoenix,AZ,1240,55.9
LN048,75201,Dallas,TX,60607,Chicago,IL,950,58.86
LN049,60607,Chicago,IL,64105,Kansas City,MO,501,34.88
LN050,46204,Indianapolis,IN,97209,Portland,OR,2261,86.09
LN051,90021,Los Angeles,CA,19104,Philadelphia,PA,2799,110.33
LN052,80202,Denver,CO,30303,Atlanta,GA,1463,63.6
LN053,19104,Philadelphia,PA,37203,Nashville,TN,799,40.05
LN054,55401,Minneapolis,MN,98108,Seattle,WA,1687,70.78
LN055,48226,Detroit,MI,84101,Salt Lake City,UT,1846,91.52
LN056,37203,Nashville,TN,75201,Dallas,TX,713,39.58
LN057,55401,Minneapolis,MN,07105,Newark,NJ,1228,55.75
LN058,46204,Indianapolis,IN,77002,Houston,TX,1007,60.2
LN059,90021,Los Angeles,CA,30303,Atlanta,GA,2333,98.84
LN060,75201,Dallas,TX,80202,Denver,CO,814,50.78
