shipment_id,pickup_date,delivery_date,origin_zip,dest_zip,weight_lbs,linehaul_revenue,cost,bill_received_date
NWF26060100001,2026-06-01,2026-06-08,77002,98108,1934,1782.59,1515.45,2026-06-09
NWF26060100002,2026-06-01,2026-06-03,46204,55401,3322,1192.27,979.66,2026-06-04
NWF26060100003,2026-06-01,2026-06-02,60607,46204,1436,408.82,315.33,2026-06-04
NWF26060100004,2026-06-01,2026-06-03,19104,37203,1689,709.18,629.59,2026-06-05
NWF26060100005,2026-06-01,2026-06-04,19104,37203,2313,856.81,815.69,2026-06-05
NWF26060100006,2026-06-01,2026-06-08,48226,85004,1015,871.3,839.32,2026-06-10
NWF26060100007,2026-06-01,2026-06-02,60607,46204,644,173.49,131.66,2026-06-09
NWF26060100008,2026-06-01,2026-06-09,19104,90021,1094,1134.93,1046.68,2026-06-11
NWF26060100009,2026-06-01,2026-06-04,48226,80202,1483,890.59,827.5,2026-06-04
NWF26060100010,2026-06-01,2026-06-09,98108,46204,2754,2836.74,2442.97,2026-06-10
NWF26060100011,2026-06-01,2026-06-04,30303,48226,297,125.0,117.62,2026-06-04
NWF26060100012,2026-06-01,2026-06-04,46204,55401,5156,1827.14,1406.49,2026-06-04
NWF26060100013,2026-06-01,2026-06-03,55401,84101,12000,7664.02,6679.52,2026-06-04
NWF26060100014,2026-06-01,2026-06-03,75201,60607,2652,1637.03,1363.5,2026-06-05
NWF26060100015,2026-06-01,2026-06-08,77002,98108,2932,2336.66,1923.46,2026-06-09
NWF26060100016,2026-06-01,2026-06-09,98108,07105,643,759.97,577.5,2026-06-11
NWF26060100017,2026-06-01,2026-06-03,55401,75201,724,410.54,289.62,2026-06-04
NWF26060100018,2026-06-01,2026-06-02,37203,64105,3329,1280.81,1216.34,2026-06-12
NWF26060100019,2026-06-01,2026-06-05,84101,55401,1369,786.83,636.45,2026-06-07
NWF26060100020,2026-06-01,2026-06-04,30303,84101,1329,1150.33,813.92,2026-06-06
NWF26060100021,2026-06-01,2026-06-03,80202,64105,1756,653.8,466.87,2026-06-04
NWF26060100022,2026-06-01,2026-06-09,19104,90021,2494,2711.65,2529.81,2026-06-10
NWF26060100023,2026-06-01,2026-06-03,80202,64105,777,307.93,271.74,2026-06-03
NWF26060100024,2026-06-01,2026-06-04,75201,60607,1742,1019.92,746.61,2026-06-06
NWF26060100025,2026-06-01,2026-06-05,30303,85004,886,702.6,633.14,2026-06-06
NWF26060100026,2026-06-01,2026-06-04,84101,64105,543,287.6,278.48,2026-06-04
NWF26060100027,2026-06-01,2026-06-02,60607,46204,2548,742.64,582.56,2026-06-04
NWF26060100028,2026-06-01,2026-06-05,55401,84101,970,559.66,471.05,2026-06-06
NWF26060100029,2026-06-01,2026-06-04,84101,64105,6538,3301.04,2988.97,2026-06-06
NWF26060100030,2026-06-01,2026-06-08,98108,46204,1549,1462.07,1322.72,2026-06-08
NWF26060100031,2026-06-01,2026-06-09,77002,98108,1068,910.52,807.71,2026-06-10
NWF26060100032,2026-06-01,2026-06-03,46204,55401,198,125.0,118.31,2026-06-05
NWF26060100033,2026-06-01,2026-06-04,80202,64105,2527,997.09,890.77,2026-06-05
NWF26060100034,2026-06-01,2026-06-05,55401,84101,683,420.06,330.06,2026-06-07
NWF26060100035,2026-06-01,2026-06-03,55401,46204,936,303.58,272.25,2026-06-03
NWF26060100036,2026-06-01,2026-06-03,75201,37203,866,435.32,397.63,2026-06-05
